user	instance_id	displayed_text	how-certain-is-the-finding:::Somewhat certain	how-certain-is-the-finding:::Uncertain	how-certain-is-the-finding:::Somewhat uncertain	how-certain-is-the-finding:::Certain	I have read and understood the instructions.:::Yes	I have read and understood the content warning.:::Yes	I want to participate in this research and continue with the study.:::Yes	I carefully went over the examples and the instructions.:::Yes	How satisfied do you feel about your experience participating in our study?:::scale_4	How satisfied do you feel about your experience participating in our study?:::scale_3	How satisfied do you feel about your experience participating in our study?:::scale_2	How satisfied do you feel about your experience participating in our study?:::scale_1	How satisfied do you feel about your experience participating in our study?:::scale_5	Compared to other studies you've participated in, how do you rate the difficulty of this task?:::scale_4	Compared to other studies you've participated in, how do you rate the difficulty of this task?:::scale_3	Compared to other studies you've participated in, how do you rate the difficulty of this task?:::scale_2	Compared to other studies you've participated in, how do you rate the difficulty of this task?:::scale_1	Compared to other studies you've participated in, how do you rate the difficulty of this task?:::scale_5	How confident are you that you performed well in the task?:::scale_4	How confident are you that you performed well in the task?:::scale_3	How confident are you that you performed well in the task?:::scale_2	How confident are you that you performed well in the task?:::scale_1	How confident are you that you performed well in the task?:::scale_5	Please feel free to leave any comments about our study (optional):::text_box	span_annotation:::Words indicating uncertainty	span_annotation:::Words indicating certainty
60e9b57da8550f28be62142d	Psychology_48_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Regardless of background, the team explains, ""circumcised boys were more likely than intact boys to develop ASD before age 10 years."" What's more, ""risk was particularly high for infantile autism before age 5 years."" That number may be so low due to overwhelming beliefs that the practice equates to genital mutilation, while stateside it may be considered more comparable to dental braces.""><b>Finding:</b></span> What's more, ""risk was particularly high for infantile autism before age 5 years."""		1																							[]	[]
60e9b57da8550f28be62142d	Psychology_48_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Ritual circumcision among Danish boys is linked to an overall 46-62% increase in ASD risk in the first 10 years of life, with the upper risk estimate obtained after restriction to the period with the most complete data. More strikingly, risk was 80-83% increased in the first 0-4 years of life, an increase that was restricted to infantile autism. To our knowledge, there is no prior evidence to suggest a link between circumcision and hyperactivity disorder, so our finding of an increased risk of this common neurobehavioral disorder among circumcised boys in non-Muslim families was unexpected and needs cautious interpretation.""><b>Finding:</b></span> More strikingly, risk was 80-83% increased in the first 0-4 years of life, an increase that was restricted to infantile autism."	3																								[]	[]
60e9b57da8550f28be62142d	Psychology_172_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Support from one's partner can help -- but only if the smokers have developed skills of their own that help them to stop. Self-efficacy and support

The result: support from their partners is helpful to smokers who wish to stop and it increases their chances of success, provided that they have developed skills of their own that help them to abstain. Such support could involve their partner reminding them of their plan to quit as well as encouraging and supporting them in critical situations.""><b>Finding:</b></span> Self-efficacy and support

The result: support from their partners is helpful to smokers who wish to stop and it increases their chances of success, provided that they have developed skills of their own that help them to abstain."	3																								[]	[]
60e9b57da8550f28be62142d	Psychology_tweet_136_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: As predicted (2c) people most often selected music with a high aesthetic value selection strategy when they aimed for distraction. We argue that the more beautiful music is, the easier it is for the listener to concentrate on the music. Moreover, these findings are in line with findings that stimulus that is perceived to have high aesthetic value will generate sensory pleasure and inhibit displeasure Menon & Levitin, 2005) .""><b>Finding:</b></span> We argue that the more beautiful music is, the easier it is for the listener to concentrate on the music."				4																					[]	[]
60e9b57da8550f28be62142d	Psychology_tweet_111_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: ""Pretreatment with CBD significantly reduced anxiety, cognitive impairment and discomfort in their speech... ""><b>Finding:</b></span> ""Pretreatment with CBD significantly reduced anxiety, cognitive impairment and discomfort in their speech... "	3																								[]	[]
60e9b57da8550f28be62142d	test_question_testing_Somewhat uncertain	<b>Reported Finding:</b> New study suggests that sunscreen could prevent skin damage. This is a test question, please select Somewhat uncertain. Do not mark any words or phrases.			2																						[]	[]
60e9b57da8550f28be62142d	test_question_testing_Certain	<b>Reported Finding:</b> New study suggests that sunscreen could prevent skin damage. This is a test question, please select Certain. Do not mark any words or phrases.				4																					[]	[]
60e9b57da8550f28be62142d	Experience.html	Experience										3				4						3					[]	[]
60e9b57da8550f28be62142d	Psychology_172_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: On average, 29 days (range 21-58days) after the quit date, the respondents returned to the lab for the second assessment (T2). The rationale for examining potential joint effects of smoking-specific received social support and individual self-regulation before the quit date and post-quit date smoking cessation in the short-term rather than a longer-term ( 6 months) perspective lies in the chosen constructs. In contrast to perceived social support, received social support is not assumed to be stable over time, but a measure of retrospective support transactions from the partner.""><b>Finding:</b></span> The rationale for examining potential joint effects of smoking-specific received social support and individual self-regulation before the quit date and post-quit date smoking cessation in the short-term rather than a longer-term ( 6 months) perspective lies in the chosen constructs."	3																								[]	[]
60d096244aeaf354bdff6c0f	Psychology_tweet_38_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Lag in maturation of the brain’s intrinsic functional architecture in ADHD disorder  ""><b>Finding:</b></span> Lag in maturation of the brain’s intrinsic functional architecture in ADHD disorder  "				4																					[]	[]
60d096244aeaf354bdff6c0f	Psychology_20_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Depression and sleeplessness go hand in hand.A petitefox/Flickr

aAn important part of the research was that we showed that in a population from the US, available because of the Human Connectome Project, the orbitofrontal cortex had increased functional connectivity with the other brain regions in people with depressive problems,a co-author and fellow University of Warwick professor Edmund Rolls, Ph.D. tells Inverse, referring to the large-scale effort to map the complete structural and functional neural connections within the human brain. A total of 162 functional connectivity neural links involved in the areas of the brain associated with sleep were identified from these scans. While anyone whoas experienced the difficulty of depression or insomnia may not be surprised that theyare connected, this study marks the first time scientists can definitively say there are neural mechanisms underlying the relationship between the two.""><b>Finding:</b></span> A total of 162 functional connectivity neural links involved in the areas of the brain associated with sleep were identified from these scans."				4																					[]	[{'start': 1126, 'end': 1136, 'span': 'A total of', 'annotation': 'Words indicating certainty'}]
60d096244aeaf354bdff6c0f	Consent.html	Consent					I have read and understood the instructions.:::Yes	I have read and understood the content warning.:::Yes	I want to participate in this research and continue with the study.:::Yes																		[]	[]
60d096244aeaf354bdff6c0f	Psychology_tweet_136_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Music can lift you out of a funk, if you can truly immerse yourself in its beauty  via ""><b>Finding:</b></span> Music can lift you out of a funk, if you can truly immerse yourself in its beauty  via "	3																								[]	[{'start': 275, 'end': 278, 'span': 'can', 'annotation': 'Words indicating certainty'}]
60d096244aeaf354bdff6c0f	Psychology_20_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: The Depressive Problems score was positively correlated with poor sleep quality (r = 0.371; P < .001). A total of 162 functional connectivity links involving areas associated with sleep, such as the precuneus, anterior cingulate cortex, and the lateral orbitofrontal cortex, were identified. Of these links, 39 were also associated with the Depressive Problems scores.""><b>Finding:</b></span> A total of 162 functional connectivity links involving areas associated with sleep, such as the precuneus, anterior cingulate cortex, and the lateral orbitofrontal cortex, were identified."				4																					[]	[{'start': 551, 'end': 561, 'span': 'A total of', 'annotation': 'Words indicating certainty'}]
60d096244aeaf354bdff6c0f	Psychology_tweet_111_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Pretreatment with CBD significantly reduced anxiety, cognitive impairment and discomfort in their speech performance, and significantly decreased alert in their anticipatory speech. The placebo group presented higher anxiety, cognitive impairment, discomfort, and alert levels when compared with the control group as assessed with the VAMS. The SSPS-N scores evidenced significant increases during the testing of placebo group that was almost abolished in the CBD group.""><b>Finding:</b></span> The placebo group presented higher anxiety, cognitive impairment, discomfort, and alert levels when compared with the control group as assessed with the VAMS."				4																					[]	[{'start': 785, 'end': 796, 'span': 'as assessed', 'annotation': 'Words indicating certainty'}]
60d096244aeaf354bdff6c0f	Certainty Examples.html	Certainty Examples								I carefully went over the examples and the instructions.:::Yes																	[]	[]
60d096244aeaf354bdff6c0f	Psychology_48_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Regardless of background, the team explains, ""circumcised boys were more likely than intact boys to develop ASD before age 10 years."" What's more, ""risk was particularly high for infantile autism before age 5 years."" That number may be so low due to overwhelming beliefs that the practice equates to genital mutilation, while stateside it may be considered more comparable to dental braces.""><b>Finding:</b></span> What's more, ""risk was particularly high for infantile autism before age 5 years."""				4																					[]	"[{'start': 658, 'end': 669, 'span': ""What's more"", 'annotation': 'Words indicating certainty'}, {'start': 681, 'end': 693, 'span': 'particularly', 'annotation': 'Words indicating certainty'}]"
60d096244aeaf354bdff6c0f	Psychology_48_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Ritual circumcision among Danish boys is linked to an overall 46-62% increase in ASD risk in the first 10 years of life, with the upper risk estimate obtained after restriction to the period with the most complete data. More strikingly, risk was 80-83% increased in the first 0-4 years of life, an increase that was restricted to infantile autism. To our knowledge, there is no prior evidence to suggest a link between circumcision and hyperactivity disorder, so our finding of an increased risk of this common neurobehavioral disorder among circumcised boys in non-Muslim families was unexpected and needs cautious interpretation.""><b>Finding:</b></span> More strikingly, risk was 80-83% increased in the first 0-4 years of life, an increase that was restricted to infantile autism."				4																					[]	[{'start': 814, 'end': 829, 'span': 'More strikingly', 'annotation': 'Words indicating certainty'}]
60d096244aeaf354bdff6c0f	Psychology_172_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Support from one's partner can help -- but only if the smokers have developed skills of their own that help them to stop. Self-efficacy and support

The result: support from their partners is helpful to smokers who wish to stop and it increases their chances of success, provided that they have developed skills of their own that help them to abstain. Such support could involve their partner reminding them of their plan to quit as well as encouraging and supporting them in critical situations.""><b>Finding:</b></span> Self-efficacy and support

The result: support from their partners is helpful to smokers who wish to stop and it increases their chances of success, provided that they have developed skills of their own that help them to abstain."				4																					[]	[]
60d096244aeaf354bdff6c0f	Psychology_tweet_136_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: As predicted (2c) people most often selected music with a high aesthetic value selection strategy when they aimed for distraction. We argue that the more beautiful music is, the easier it is for the listener to concentrate on the music. Moreover, these findings are in line with findings that stimulus that is perceived to have high aesthetic value will generate sensory pleasure and inhibit displeasure Menon & Levitin, 2005) .""><b>Finding:</b></span> We argue that the more beautiful music is, the easier it is for the listener to concentrate on the music."	3																								[]	[{'start': 618, 'end': 623, 'span': 'argue', 'annotation': 'Words indicating certainty'}]
60d096244aeaf354bdff6c0f	Psychology_tweet_111_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: ""Pretreatment with CBD significantly reduced anxiety, cognitive impairment and discomfort in their speech... ""><b>Finding:</b></span> ""Pretreatment with CBD significantly reduced anxiety, cognitive impairment and discomfort in their speech... "				4																					[]	[{'start': 357, 'end': 370, 'span': 'significantly', 'annotation': 'Words indicating certainty'}]
60d096244aeaf354bdff6c0f	test_question_testing_Somewhat uncertain	<b>Reported Finding:</b> New study suggests that sunscreen could prevent skin damage. This is a test question, please select Somewhat uncertain. Do not mark any words or phrases.	3																								[]	[]
60d096244aeaf354bdff6c0f	Psychology_tweet_38_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: We found prominent maturational lag in DMN interconnections with VAN, with a concentration of lagged connections involving anterior insula, a key hub in VAN. These observations suggest that lagged maturation in anterior insula could contribute to several forms of inattention in ADHD. There was also a lag in ADHD in integration of interconnections linking DMN and FPN (Fig.""><b>Finding:</b></span> These observations suggest that lagged maturation in anterior insula could contribute to several forms of inattention in ADHD."	3																								[]	[{'start': 576, 'end': 583, 'span': 'suggest', 'annotation': 'Words indicating certainty'}, {'start': 626, 'end': 631, 'span': 'could', 'annotation': 'Words indicating certainty'}]
60d096244aeaf354bdff6c0f	Experience.html	Experience										3					3						2				[]	[]
60d096244aeaf354bdff6c0f	Psychology_172_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: On average, 29 days (range 21-58days) after the quit date, the respondents returned to the lab for the second assessment (T2). The rationale for examining potential joint effects of smoking-specific received social support and individual self-regulation before the quit date and post-quit date smoking cessation in the short-term rather than a longer-term ( 6 months) perspective lies in the chosen constructs. In contrast to perceived social support, received social support is not assumed to be stable over time, but a measure of retrospective support transactions from the partner.""><b>Finding:</b></span> The rationale for examining potential joint effects of smoking-specific received social support and individual self-regulation before the quit date and post-quit date smoking cessation in the short-term rather than a longer-term ( 6 months) perspective lies in the chosen constructs."				4																					[]	[]
60d096244aeaf354bdff6c0f	test_question_testing_Somewhat certain	<b>Reported Finding:</b> New study suggests that sunscreen could prevent skin damage. This is a test question, please select Somewhat certain. Do not mark any words or phrases.	3																								[]	[]
5efc5ed4b57d8f228d44b981	Psychology_312_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: For one, PEs are associated with increased odds of suicidal behavior even in individuals without a mental disorder. We found that co-occurring psychopathology is only a partial mediator of the association between PEs and suicidal behavior; that is, PEs are a marker of risk for later suicidal behavior in excess of the risk associated with co-occurring mental disorders. (Figure 2 includes examples of mediating variables in the association between PEs and suicidal ideation and behavior.)""><b>Finding:</b></span> We found that co-occurring psychopathology is only a partial mediator of the association between PEs and suicidal behavior; that is, PEs are a marker of risk for later suicidal behavior in excess of the risk associated with co-occurring mental disorders."				4																					[]	[{'start': 907, 'end': 914, 'span': 'PEs are', 'annotation': 'Words indicating certainty'}, {'start': 926, 'end': 935, 'span': 'in excess', 'annotation': 'Words indicating certainty'}]
5efc5ed4b57d8f228d44b981	Psychology_138_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: ""It is particularly noteworthy that the networks we found to have lagging maturation in ADHD are linked to the very behaviors that are the symptoms of ADHD,"" he says. ""The results of this study set the stage for the next phase of this research, which is to examine individual components of the networks that have the maturational lag,"" he says. ""This study provides a coarse-grained understanding, and now we want to examine this phenomenon in a more fine-grained way that might lead us to a true biological marker, or neuromarker, for ADHD.""""><b>Finding:</b></span> ""The results of this study set the stage for the next phase of this research, which is to examine individual components of the networks that have the maturational lag,"" he says."				4																					[]	[{'start': 785, 'end': 820, 'span': 'results of this study set the stage', 'annotation': 'Words indicating certainty'}]
