user	instance_id	displayed_text	changes-key-entity:::yes	changes-key-entity:::no	Level-of-generality:::no	Level-of-generality:::yes	how-certain-is-the-reported-finding:::Can't say	how-certain-is-the-reported-finding:::Uncertain	how-certain-is-the-reported-finding:::Somewhat certain	how-certain-is-the-reported-finding:::Certain	how-certain-is-the-paper-finding:::Can't say	how-certain-is-the-paper-finding:::Somewhat certain	how-certain-is-the-paper-finding:::Somewhat uncertain	how-certain-is-the-paper-finding:::Certain	reporting-is-sensational:::Mostly neutral, slightly sensational	reporting-is-sensational:::Neutral	reporting-is-sensational:::Sensational	paper-is-sensational:::Mostly neutral, slightly sensational	paper-is-sensational:::Neutral	paper-is-sensational:::Sensational	how-causal-is-the-reporting:::Causation	how-causal-is-the-reporting:::No relation is stated	how-causal-is-the-reporting:::Correlation	how-causal-is-the-paper-finding:::Causation	how-causal-is-the-paper-finding:::No relation is stated	how-causal-is-the-paper-finding:::Correlation	I have read and understood the instructions.:::Yes	I have read and understood the content warning.:::Yes	I want to participate in this research and continue with the study.:::Yes	How satisfied do you feel about your experience participating in our study?:::Satisfied	How satisfied do you feel about your experience participating in our study?:::Very satisfied	How satisfied do you feel about your experience participating in our study?:::Not satisfied	How do you feel about your experience participating in our study compared with other studies?:::Better than others	How do you feel about your experience participating in our study compared with other studies?:::Worse than others	How do you feel about your experience participating in our study compared with other studies?:::Much better than others	I carefully went over the examples and the instructions.:::Yes	span_annotation:::Words indicating uncertainty	span_annotation:::Generalization	span_annotation:::Added element in reported finding.	span_annotation:::Sensational language	span_annotation:::Causation	span_annotation:::Missing element from the reported finding.	span_annotation:::Words indicating certainty	span_annotation:::Correlation
60d4b2c2f8ec648ad7bd7a21	Experience.html	Experience																														How satisfied do you feel about your experience participating in our study?:::Not satisfied		How do you feel about your experience participating in our study compared with other studies?:::Worse than others			[]	[]	[]	[]	[]	[]	[]	[]
60d4b2c2f8ec648ad7bd7a21	Medicine_tweet_68	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: #Vitamin D supplementation during #pregnancy may reduce the risk for underweight babies and fetal or infant mortality. ""><b>Reported Finding:</b></span> #Vitamin D supplementation during #pregnancy may reduce the risk for underweight babies and fetal or infant mortality. <br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: We found that maternal vitamin D supplementation timing, dose, and administration method did not affect cord blood vitamin D concentration. Late vitamin D supplementation (initiation at ≥20 weeks' gestation) improved birth weight, but early supplementation (initiation at <20 weeks' gestation) did not. Most importantly, we found that the lower dose of vitamin D supplementation (≤2000 IU/d) reduced the risk of fetal or neonatal mortality and SGA, but the higher dose (>2000 IU/d) did not.""><b>Paper Finding:</b></span> Late vitamin D supplementation (initiation at ≥20 weeks' gestation) improved birth weight, but early supplementation (initiation at <20 weeks' gestation) did not."		2		1	3				3					1			1				2			2											[]	[{'start': 347, 'end': 364, 'span': 'during #pregnancy', 'annotation': 'Generalization'}]	[]	[]	[]	[]	[]	[{'start': 321, 'end': 346, 'span': 'Vitamin D supplementation', 'annotation': 'Correlation'}, {'start': 365, 'end': 384, 'span': 'may reduce the risk', 'annotation': 'Correlation'}, {'start': 1105, 'end': 1130, 'span': 'vitamin D supplementation', 'annotation': 'Correlation'}, {'start': 1168, 'end': 1189, 'span': 'improved birth weight', 'annotation': 'Correlation'}]
debug_user	Consent.html	Consent																									I have read and understood the instructions.:::Yes	I have read and understood the content warning.:::Yes	I want to participate in this research and continue with the study.:::Yes								[]	[]	[]	[]	[]	[]	[]	[]
debug_user	Key-variables Examples.html	variables Examples																																		I carefully went over the examples and the instructions.:::Yes	[]	[]	[]	[]	[]	[]	[]	[]
debug_user	Certainty Examples.html	Certainty Examples																																		I carefully went over the examples and the instructions.:::Yes	[]	[]	[]	[]	[]	[]	[]	[]
debug_user	Causality Examples.html	Causality Examples																																		I carefully went over the examples and the instructions.:::Yes	[]	[]	[]	[]	[]	[]	[]	[]
debug_user	Sensationalism Examples.html	Sensationalism Examples																																		I carefully went over the examples and the instructions.:::Yes	[]	[]	[]	[]	[]	[]	[]	[]
debug_user	Generalization Examples.html	Generalization Examples																																		I carefully went over the examples and the instructions.:::Yes	[]	[]	[]	[]	[]	[]	[]	[]
6142421ec0a42fa3dafe6518	Medicine_434	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: It could be the other way around for a minority of individuals, that is, when exposure to alcohol has led to cognitive impairment, but this is less likely to be found among young persons of course. We found that lower results on IQ tests in Swedish adolescent men are associated with a higher consumption of alcohol, measured in both terms of total intake and binge drinking, said Sjolund. It may be that a higher IQ results in healthier lifestyle choices.""><b>Reported Finding:</b></span> ""We found that lower results on IQ tests in Swedish adolescent men are associated with a higher consumption of alcohol, measured in both terms of total intake and binge drinking,"" said Sjolund.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: It should be noted that the authors report a skewed study population with regard to low socioeconomic position . They found a J-shaped association between frequency of drinking and IQ test results, where the daily drinkers had the lowest IQ. A higher IQ was associated with being a rare, an occasional, and a moderate drinker, whereas there was a lower IQ for being a former drinker compared with being a lifetime abstainer.""><b>Paper Finding:</b></span> They found a J-shaped association between frequency of drinking and IQ test results, where the daily drinkers had the lowest IQ."	1		2					5				5		1			1				2			2											[]	[]	"[{'start': 1707, 'end': 1841, 'span': ' J<span class=""span_container"" selection_label=""Added element in reported finding."" style=""background-color:rgb(204,121,167, 0.25);"">-', 'annotation': 'Added element in reported finding.'}]"	[]	[]	[]	"[{'start': 658, 'end': 672, 'span': 'We found that ', 'annotation': 'Words indicating certainty'}, {'start': 673, 'end': 866, 'span': 'ower results on IQ tests in Swedish adolescent men<span class=""span_container"" selection_label=""Words indicating certainty"" style=""background-color:rgb(240,228,66, 0.25);""> are associated with ', 'annotation': 'Words indicating certainty'}]"	[{'start': 2002, 'end': 2108, 'span': 'association between frequency of drinking and IQ test results, where the daily drinkers had the lowest IQ.', 'annotation': 'Correlation'}]
6142421ec0a42fa3dafe6518	Medicine_tweet_37	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: A healthy diet seems to most benefit people with a genetic predisposition to #obesity
 @username #OA ""><b>Reported Finding:</b></span> A healthy diet seems to most benefit people with a genetic predisposition to #obesity
 @username #OA <br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: These data indicate that improving adherence to healthy dietary patterns could attenuate the genetic association with weight gain. Moreover, the beneficial effect of improved diet quality on weight management was particularly pronounced in people at high genetic risk for obesity. Weights reported in questionnaires and measured by technicians were highly correlated (r=0.97 in both studies) in a validation subsample.""><b>Paper Finding:</b></span> Moreover, the beneficial effect of improved diet quality on weight management was particularly pronounced in people at high genetic risk for obesity."		2	2				4		3					1			1			1			1												[{'start': 318, 'end': 339, 'span': 'seems to most benefit', 'annotation': 'Words indicating uncertainty'}]	[]	[]	[]	[]	[]	[]	[]
6142421ec0a42fa3dafe6518	Consent.html	Consent																									I have read and understood the instructions.:::Yes	I have read and understood the content warning.:::Yes	I want to participate in this research and continue with the study.:::Yes								[]	[]	[]	[]	[]	[]	[]	[]
6142421ec0a42fa3dafe6518	Medicine_tweet_43	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: Thrilled that our new paper is out @username:  In this work with Dan Schacter and @username, we show that episodic simulations can form real-life attitudes and how this is supported by affective representations in the vmPFC. 1/5 ""><b>Reported Finding:</b></span> Thrilled that our new paper is out @username:  In this work with Dan Schacter and @username, we show that episodic simulations can form real-life attitudes and how this is supported by affective representations in the vmPFC. 1/5 <br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: Such evaluative conditioning forms attitudes by changing the liking of the CS to align with the valence of the UCS . By this process, episodic simulations modify attitudes toward the very elements that the simulations had been based on, thus influencing how we evaluate our real-life environment. Our hypothesis assigns a key role to the vmPFC in mediating such presumed attitude change.""><b>Paper Finding:</b></span> By this process, episodic simulations modify attitudes toward the very elements that the simulations had been based on, thus influencing how we evaluate our real-life environment."	1		2					5				5		1				3		1			1												[]	[]	[{'start': 1336, 'end': 1395, 'span': ' thus influencing how we evaluate our real-life environment', 'annotation': 'Added element in reported finding.'}]	[]	[]	[]	[{'start': 522, 'end': 535, 'span': ' we show that', 'annotation': 'Words indicating certainty'}, {'start': 1254, 'end': 1272, 'span': ' modify attitudes ', 'annotation': 'Words indicating certainty'}]	[]
6142421ec0a42fa3dafe6518	Experience.html	Experience																													How satisfied do you feel about your experience participating in our study?:::Very satisfied				How do you feel about your experience participating in our study compared with other studies?:::Much better than others		[]	[]	[]	[]	[]	[]	[]	[]
6142421ec0a42fa3dafe6518	Medicine_tweet_2	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: Is Diet Quality Associated With Later Risk for Dementia?
@username 

While usual limitations of observational studies like this apply, this analysis suggests eating a healthier diet assessed at midlife was not associated w/subsequent risk for #dementia.""><b>Reported Finding:</b></span> Is Diet Quality Associated With Later Risk for Dementia?
@username 

While usual limitations of observational studies like this apply, this analysis suggests eating a healthier diet assessed at midlife was not associated w/subsequent risk for #dementia.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: Fourth, as with all observational studies, it was not possible to rule out residual confounding. In this long-term prospective cohort study, diet quality assessed during midlife was not significantly associated with subsequent risk for dementia. The validity and reliability of this version of the FFQ in terms of nutrient and food consumption has been documented in detail both in this cohort and in another independent study in the United Kingdom.""><b>Paper Finding:</b></span> In this long-term prospective cohort study, diet quality assessed during midlife was not significantly associated with subsequent risk for dementia."		2	2					5		4				1			1			1			1												[]	[]	[]	[]	[]	[{'start': 456, 'end': 515, 'span': ' Is Diet Quality Associated With Later Risk for Dementia?\r\n', 'annotation': 'Missing element from the reported finding.'}]	"[{'start': 594, 'end': 739, 'span': ' <span class=""span_container"" selection_label=""Words indicating certainty"" style=""background-color:rgb(240,228,66, 0.25);"">this analysis suggests', 'annotation': 'Words indicating certainty'}]"	[]
