user	instance_id	displayed_text	changes-key-entity:::no	changes-key-entity:::yes	Level-of-generality:::no	Level-of-generality:::yes	how-certain-is-the-reported-finding:::Certain	how-certain-is-the-reported-finding:::Uncertain	how-certain-is-the-reported-finding:::Can't say	how-certain-is-the-reported-finding:::Somewhat certain	how-certain-is-the-reported-finding:::Somewhat uncertain	how-certain-is-the-paper-finding:::Somewhat uncertain	how-certain-is-the-paper-finding:::Certain	how-certain-is-the-paper-finding:::Uncertain	how-certain-is-the-paper-finding:::Can't say	how-certain-is-the-paper-finding:::Somewhat certain	reporting-is-sensational:::Mostly neutral, slightly sensational	reporting-is-sensational:::Neutral	reporting-is-sensational:::Sensational	paper-is-sensational:::Mostly neutral, slightly sensational	paper-is-sensational:::Neutral	paper-is-sensational:::Sensational	how-causal-is-the-reporting:::Correlation	how-causal-is-the-reporting:::Causation	how-causal-is-the-reporting:::No relation is stated	how-causal-is-the-paper-finding:::Correlation	how-causal-is-the-paper-finding:::Causation	how-causal-is-the-paper-finding:::No relation is stated	I have read and understood the instructions.:::Yes	I have read and understood the content warning.:::Yes	I want to participate in this research and continue with the study.:::Yes	How satisfied do you feel about your experience participating in our study?:::Satisfied	How satisfied do you feel about your experience participating in our study?:::Not satisfied	How satisfied do you feel about your experience participating in our study?:::Very satisfied	How do you feel about your experience participating in our study compared with other studies?:::Better than others	How do you feel about your experience participating in our study compared with other studies?:::Much better than others	How do you feel about your experience participating in our study compared with other studies?:::Worse than others	How do you feel about your experience participating in our study compared with other studies?:::Similar	Please feel free to leave any comments about our study (optional):::text_box	span_annotation:::Correlation	span_annotation:::Causation	span_annotation:::Words indicating certainty	span_annotation:::Words indicating uncertainty	span_annotation:::Generalization	span_annotation:::Missing element from the reported finding.	span_annotation:::Sensational language	span_annotation:::Generalization</div>	span_annotation:::Added element in reported finding.
6310cc34a290f2ad41540f08	Medicine_tweet_49	<b>Reported finding:</b> Lianas reduce tropical forests' #carbon accumulation and storage   #TheTarzanEffect<br><b>Paper finding:</b> This study is the first direct demonstration of liana effects at the ecosystem scale and illustrates the important role of lianas in tropical forests, particularly with respect to carbon budgets.		1		1	5									4	2			2				3		2														[{'start': 216, 'end': 223, 'span': 'effects', 'annotation': 'Correlation'}]	[]	[]	[{'start': 267, 'end': 292, 'span': 'important role of lianas ', 'annotation': 'Words indicating uncertainty'}]	[{'start': 53, 'end': 66, 'span': 'Lianas reduce', 'annotation': 'Generalization'}]	[]	[{'start': 85, 'end': 105, 'span': '#carbon accumulation', 'annotation': 'Sensational language'}, {'start': 180, 'end': 206, 'span': 'first direct demonstration', 'annotation': 'Sensational language'}]	[]	[{'start': 120, 'end': 136, 'span': '#TheTarzanEffect', 'annotation': 'Added element in reported finding.'}]
5fba6c2d012e37a154345985	Medicine_tweet_7	"<b>Reported finding:</b> High School Students’ Use of Electronic Cigarettes to Vaporize Cannabis
Morean PhD, Kong PhD et alPediatrics Oct 2015 <br><b>Paper finding:</b> The current study is the first to demonstrate that HS students are using e-cigarettes to vaporize cannabis."	2		2				3				5					1			1				1			1												[]	[]	[{'start': 232, 'end': 243, 'span': 'demonstrate', 'annotation': 'Words indicating certainty'}]	[]	[]	[]	[]	[]	[]
5fba6c2d012e37a154345985	Experience.html	Experience																																How satisfied do you feel about your experience participating in our study?:::Very satisfied		How do you feel about your experience participating in our study compared with other studies?:::Much better than others			I wasn`t able to highlight a phrase twice for different case types	[]	[]	[]	[]	[]	[]	[]	[]	[]
5fba6c2d012e37a154345985	Medicine_tweet_170	<b>Reported finding:</b> Abstract: Teens who regularly use synthetic cannabinoids more likely 2 report polydrug use than marijuana-only users <br><b>Paper finding:</b> Marijuana users who use other drugs in particular are at highest risk for currently using SCs, so particular focus needs to be paid to these individuals at high risk.		1		1				4			5					1			1				1			1												[]	[]	[{'start': 115, 'end': 121, 'span': 'likely', 'annotation': 'Words indicating certainty'}, {'start': 253, 'end': 265, 'span': 'highest risk', 'annotation': 'Words indicating certainty'}]	[]	[{'start': 73, 'end': 82, 'span': 'regularly', 'annotation': 'Generalization'}]	[{'start': 286, 'end': 289, 'span': 'SCs', 'annotation': 'Missing element from the reported finding.'}]	[]	[]	[{'start': 63, 'end': 69, 'span': 'Teens ', 'annotation': 'Added element in reported finding.'}, {'start': 97, 'end': 110, 'span': 'cannabinoids ', 'annotation': 'Added element in reported finding.'}]
5fba6c2d012e37a154345985	Consent.html	Consent																											I have read and understood the instructions.:::Yes	I have read and understood the content warning.:::Yes	I want to participate in this research and continue with the study.:::Yes									[]	[]	[]	[]	[]	[]	[]	[]	[]
5fba6c2d012e37a154345985	Medicine_tweet_10	<b>Reported finding:</b> Acute lesions on diffusion #MRI of the brain could predict delayed neurological sequelae following acute CO poisoning. <br><b>Paper finding:</b> Multivariable logistic regression analysis indicated that the presence of acute brain lesions was independently associated with development of delayed neurological sequelae (adjusted odds ratio, 13.93; 95% CI, 7.16-27.11; P < .001).		1	2				3							4		1			1		2			2														[{'start': 104, 'end': 111, 'span': 'predict', 'annotation': 'Correlation'}, {'start': 310, 'end': 321, 'span': 'associated ', 'annotation': 'Correlation'}]	[]	[]	[]	[]	[]	[]	[]	[{'start': 80, 'end': 84, 'span': '#MRI', 'annotation': 'Added element in reported finding.'}, {'start': 158, 'end': 170, 'span': 'CO poisoning', 'annotation': 'Added element in reported finding.'}]
5fba6c2d012e37a154345985	Medicine_tweet_14	<b>Reported finding:</b> Our new paper using MTurk finds no evidence that artificial monitoring cues influence online donations to charity <br><b>Paper finding:</b> This work supports the importance of cultural differences and enduring individual differences in prosocial behaviour and shows that a range of artificial monitoring cues do not reliably boost online charity donation on MTurk.	2		2		5						5					1			1			3				1												[]	[]	"[{'start': 85, 'end': 96, 'span': 'no evidence', 'annotation': 'Words indicating certainty'}, {'start': 362, 'end': 491, 'span': ' <span class=""span_container"" selection_label=""Words indicating certainty"" style=""background-color:rgb(240,228,66, 0.25);"">do not', 'annotation': 'Words indicating certainty'}]"	[]	[]	[{'start': 230, 'end': 251, 'span': 'cultural differences ', 'annotation': 'Missing element from the reported finding.'}, {'start': 255, 'end': 286, 'span': 'enduring individual differences', 'annotation': 'Missing element from the reported finding.'}]	[]	[]	[]
5c257d27da51990001e278db	Medicine_tweet_7	"<b>Reported finding:</b> High School Students’ Use of Electronic Cigarettes to Vaporize Cannabis
Morean PhD, Kong PhD et alPediatrics Oct 2015 <br><b>Paper finding:</b> The current study is the first to demonstrate that HS students are using e-cigarettes to vaporize cannabis."		1		1	5						5					1			1			3			3													[]	[{'start': 510, 'end': 566, 'span': 'are using e-cigarettes to vaporize cannabis.\r\n          ', 'annotation': 'Causation'}]	"[{'start': 58, 'end': 200, 'span': 'School <span class=""span_container"" selection_label=""Words indicating certainty"" style=""background-color:rgb(240,228,66, 0.25);"">Students’ Use', 'annotation': 'Words indicating certainty'}, {'start': 226, 'end': 237, 'span': 'to Vaporize', 'annotation': 'Words indicating certainty'}, {'start': 478, 'end': 492, 'span': 'to demonstrate', 'annotation': 'Words indicating certainty'}]"	[]	[]	[{'start': 447, 'end': 477, 'span': 'The current study is the first', 'annotation': 'Missing element from the reported finding.'}]	[]	[]	[]
5c257d27da51990001e278db	Experience.html	Experience																														How satisfied do you feel about your experience participating in our study?:::Satisfied						How do you feel about your experience participating in our study compared with other studies?:::Similar	Some difficulty annotating isolated words that have already been annotated. 	[]	[]	[]	[]	[]	[]	[]	[]	[]
5c257d27da51990001e278db	Medicine_tweet_170	<b>Reported finding:</b> Abstract: Teens who regularly use synthetic cannabinoids more likely 2 report polydrug use than marijuana-only users <br><b>Paper finding:</b> Marijuana users who use other drugs in particular are at highest risk for currently using SCs, so particular focus needs to be paid to these individuals at high risk.		1	2					4			5					1			1		2			2														[{'start': 69, 'end': 86, 'span': 'who regularly use', 'annotation': 'Correlation'}, {'start': 140, 'end': 148, 'span': 'use than', 'annotation': 'Correlation'}, {'start': 212, 'end': 219, 'span': 'who use', 'annotation': 'Correlation'}]	[]	[{'start': 110, 'end': 122, 'span': 'more likely ', 'annotation': 'Words indicating certainty'}, {'start': 245, 'end': 252, 'span': ' are at', 'annotation': 'Words indicating certainty'}]	[]	[]	[{'start': 253, 'end': 289, 'span': 'highest risk for currently using SCs', 'annotation': 'Missing element from the reported finding.'}, {'start': 294, 'end': 374, 'span': 'particular focus needs to be paid to these individuals at high risk.\r\n          ', 'annotation': 'Missing element from the reported finding.'}]	[]	[]	[{'start': 62, 'end': 68, 'span': ' Teens', 'annotation': 'Added element in reported finding.'}, {'start': 122, 'end': 139, 'span': '2 report polydrug', 'annotation': 'Added element in reported finding.'}]
5c257d27da51990001e278db	Consent.html	Consent																											I have read and understood the instructions.:::Yes	I have read and understood the content warning.:::Yes	I want to participate in this research and continue with the study.:::Yes									[]	[]	[]	[]	[]	[]	[]	[]	[]
5c257d27da51990001e278db	Medicine_tweet_10	<b>Reported finding:</b> Acute lesions on diffusion #MRI of the brain could predict delayed neurological sequelae following acute CO poisoning. <br><b>Paper finding:</b> Multivariable logistic regression analysis indicated that the presence of acute brain lesions was independently associated with development of delayed neurological sequelae (adjusted odds ratio, 13.93; 95% CI, 7.16-27.11; P < .001).		1		1					2		5					1			1		2			2														[{'start': 296, 'end': 320, 'span': 'independently associated', 'annotation': 'Correlation'}]	[]	[{'start': 241, 'end': 250, 'span': 'indicated', 'annotation': 'Words indicating certainty'}, {'start': 291, 'end': 296, 'span': ' was ', 'annotation': 'Words indicating certainty'}]	[{'start': 98, 'end': 103, 'span': 'could', 'annotation': 'Words indicating uncertainty'}]	[{'start': 104, 'end': 111, 'span': 'predict', 'annotation': 'Generalization'}]	[{'start': 198, 'end': 231, 'span': 'Multivariable logistic regression', 'annotation': 'Missing element from the reported finding.'}, {'start': 371, 'end': 432, 'span': '(adjusted odds ratio, 13.93; 95% CI, 7.16-27.11; P &lt; .001)', 'annotation': 'Missing element from the reported finding.'}]	[]	[]	[{'start': 70, 'end': 97, 'span': 'diffusion #MRI of the brain', 'annotation': 'Added element in reported finding.'}, {'start': 142, 'end': 170, 'span': 'following acute CO poisoning', 'annotation': 'Added element in reported finding.'}]
5c257d27da51990001e278db	Medicine_tweet_14	<b>Reported finding:</b> Our new paper using MTurk finds no evidence that artificial monitoring cues influence online donations to charity <br><b>Paper finding:</b> This work supports the importance of cultural differences and enduring individual differences in prosocial behaviour and shows that a range of artificial monitoring cues do not reliably boost online charity donation on MTurk.		1		1	5						5					1			1			3			3													[]	[]	"[{'start': 73, 'end': 218, 'span': 'MTurk <span class=""span_container"" selection_label=""Words indicating certainty"" style=""background-color:rgb(240,228,66, 0.25);"">finds no evidence', 'annotation': 'Words indicating certainty'}, {'start': 596, 'end': 749, 'span': 'monitoring cues <span class=""span_container"" selection_label=""Words indicating certainty"" style=""background-color:rgb(240,228,66, 0.25);"">do not reliably', 'annotation': 'Words indicating certainty'}]"	[]	[]	[{'start': 442, 'end': 558, 'span': 'This work supports the importance of cultural differences and enduring individual differences in prosocial behaviour', 'annotation': 'Missing element from the reported finding.'}]	[]	[]	[]
5f1b3c02f904e613d8e5097e	Medicine_458	<b>Reported finding:</b> For instance, it can take into account a whole range of factors that are decisive for hydrology, such as rain and snow volume, evaporation, groundwater and also the ways in which glaciers expand and experience changes in volume.<br><b>Paper finding:</b> Modeling studies at a high spatiotemporal resolution and degree of process complexity are crucial to assess the impact of climate change on the hydrological balance of high-altitude catchments and to refine the projections of the coarser-scale models .		1		1		1							3			1			1			3		2														[]	[]	[{'start': 126, 'end': 134, 'span': 'decisive', 'annotation': 'Words indicating certainty'}]	[]	[{'start': 92, 'end': 116, 'span': 'a whole range of factors', 'annotation': 'Generalization'}]	[{'start': 307, 'end': 392, 'span': 'Modeling studies at a high spatiotemporal resolution and degree of process complexity', 'annotation': 'Missing element from the reported finding.'}, {'start': 451, 'end': 499, 'span': 'hydrological balance of high-altitude catchments', 'annotation': 'Missing element from the reported finding.'}]	[]	[]	[{'start': 158, 'end': 204, 'span': 'rain and snow volume, evaporation, groundwater', 'annotation': 'Added element in reported finding.'}, {'start': 232, 'end': 240, 'span': 'glaciers', 'annotation': 'Added element in reported finding.'}]
5f1b3c02f904e613d8e5097e	Consent.html	Consent																											I have read and understood the instructions.:::Yes	I have read and understood the content warning.:::Yes	I want to participate in this research and continue with the study.:::Yes									[]	[]	[]	[]	[]	[]	[]	[]	[]
5fe52ccca4feb03293fbf3a6	Medicine_tweet_42	<b>Reported finding:</b> Can women's cortisol levels predict their likelihood of getting #pregnant when having #IVF?  <br><b>Paper finding:</b> Despite these potential limitations, the present study extends the available evidence for the role of cortisol on clinical pregnancy in IVF patients and provides the first evidence that elevated chronic cortisol levels are associated with a reduced likelihood of pregnancy.	2		2			1					5					1			1		2				3													[]	[{'start': 358, 'end': 366, 'span': 'elevated', 'annotation': 'Causation'}]	[{'start': 325, 'end': 352, 'span': 'provides the first evidence', 'annotation': 'Words indicating certainty'}]	[{'start': 53, 'end': 57, 'span': 'Can ', 'annotation': 'Words indicating uncertainty'}]	[]	[{'start': 227, 'end': 257, 'span': 'extends the available evidence', 'annotation': 'Missing element from the reported finding.'}, {'start': 367, 'end': 432, 'span': 'chronic cortisol levels are associated with a reduced likelihood ', 'annotation': 'Missing element from the reported finding.'}]	[]	[]	[]
5fe52ccca4feb03293fbf3a6	Medicine_tweet_63	<b>Reported finding:</b> Using your mobile phone during #pregnancy is unlikely to cause adverse neurodevelopmental effects  #bmcpublichealth<br><b>Paper finding:</b> Our unique findings do not support the hypothesis of adverse effects on children's language, communication and motor skills due to maternal cell phone use during gestation.		1		1				4			5				2				1			3		2														[]	[{'start': 380, 'end': 385, 'span': 'cause', 'annotation': 'Causation'}]	[]	[]	[{'start': 394, 'end': 420, 'span': 'neurodevelopmental effects', 'annotation': 'Generalization'}]	[{'start': 484, 'end': 513, 'span': 'do not support the hypothesis', 'annotation': 'Missing element from the reported finding.'}]	[]	[]	"[{'start': 94, 'end': 237, 'span': ' is <span class=""span_container"" selection_label=""Added element in reported finding."" style=""background-color:rgb(204,121,167, 0.25);"">unlikely', 'annotation': 'Added element in reported finding.'}, {'start': 422, 'end': 438, 'span': '#bmcpublichealth', 'annotation': 'Added element in reported finding.'}]"
5fe52ccca4feb03293fbf3a6	Medicine_tweet_244	"<b>Reported finding:</b> Our new paper shows link between cuts to public health budgets and falling vaccination rates in Italy 
 <br><b>Paper finding:</b> We estimated that each 1% reduction in real public health expenditure per-capita corresponded to a 0.5 percentage points reduction in MMR coverage."		1		1	5									4		1			1		2			2														[]	[]	[]	[{'start': 440, 'end': 449, 'span': 'estimated', 'annotation': 'Words indicating uncertainty'}]	"[{'start': 67, 'end': 186, 'span': 's<span class=""span_container"" selection_label=""Generalization"" style=""background-color:rgb(213,94,0, 0.25);"">hows link ', 'annotation': 'Generalization'}]"	[{'start': 460, 'end': 472, 'span': '1% reduction', 'annotation': 'Missing element from the reported finding.'}, {'start': 536, 'end': 584, 'span': '0.5 percentage points reduction in MMR coverage.', 'annotation': 'Missing element from the reported finding.'}]	[]	[]	[{'start': 374, 'end': 408, 'span': 'alling vaccination rates in Italy ', 'annotation': 'Added element in reported finding.'}]
5fe52ccca4feb03293fbf3a6	Experience.html	Experience																																How satisfied do you feel about your experience participating in our study?:::Very satisfied				How do you feel about your experience participating in our study compared with other studies?:::Similar		[]	[]	[]	[]	[]	[]	[]	[]	[]
5fe52ccca4feb03293fbf3a6	Medicine_458	<b>Reported finding:</b> For instance, it can take into account a whole range of factors that are decisive for hydrology, such as rain and snow volume, evaporation, groundwater and also the ways in which glaciers expand and experience changes in volume.<br><b>Paper finding:</b> Modeling studies at a high spatiotemporal resolution and degree of process complexity are crucial to assess the impact of climate change on the hydrological balance of high-altitude catchments and to refine the projections of the coarser-scale models .		1	2		5						5					1			1		2					1												[]	[]	[{'start': 70, 'end': 91, 'span': 'can take into account', 'annotation': 'Words indicating certainty'}, {'start': 628, 'end': 650, 'span': 'are crucial to assess ', 'annotation': 'Words indicating certainty'}]	[]	"[{'start': 92, 'end': 257, 'span': 'a <span class=""span_container"" selection_label=""Generalization"" style=""background-color:rgb(213,94,0, 0.25);"">whole range of factors that are decisive for hydrology,', 'annotation': 'Generalization'}]"	[{'start': 654, 'end': 788, 'span': 'impact of climate change on the hydrological balance of high-altitude catchments and to refine the projections of the coarser-scale mo', 'annotation': 'Missing element from the reported finding.'}]	[]	[]	[{'start': 393, 'end': 516, 'span': 'rain and snow volume, evaporation, groundwater and also the ways in which glaciers expand and experience changes in volume.', 'annotation': 'Added element in reported finding.'}]
5fe52ccca4feb03293fbf3a6	Consent.html	Consent																											I have read and understood the instructions.:::Yes	I have read and understood the content warning.:::Yes	I want to participate in this research and continue with the study.:::Yes									[]	[]	[]	[]	[]	[]	[]	[]	[]
60bce8474b590baeb84b6cdd	Medicine_228	<b>Reported finding:</b> In other words, it isn't testosterone levels that predict muscle gains, but how sensitive your muscles are to that testosterone.<br><b>Paper finding:</b> Acute hormonal responses were correlated with gains in lean body mass (LBM), muscle fibre cross-sectional area (CSA) and leg press strength.		1	2		5									4		1			1			3		2														[{'start': 465, 'end': 510, 'span': 'Acute hormonal responses were correlated with', 'annotation': 'Correlation'}]	[]	[]	[]	[]	[]	[]	[]	"[{'start': 69, 'end': 241, 'span': 'it isn\'t testosterone levels that <span class=""span_container"" selection_label=""Added element in reported finding."" style=""background-color:rgb(204,121,167, 0.25);"">predict', 'annotation': 'Added element in reported finding.'}, {'start': 260, 'end': 311, 'span': 'how sensitive your muscles are to that testosterone', 'annotation': 'Added element in reported finding.'}]"
60bce8474b590baeb84b6cdd	Medicine_503	"<b>Reported finding:</b> advertisement

The third site, with a lower binding affinity, allows the calcium ions to move into the cell.<br><b>Paper finding:</b> This pore architecture suggests a conduction pathway involving transitions between two main states with one or two hydrated Ca 21 ions bound in the selectivity filter and supports a 'knock-off' mechanism of ion permeation through a stepwisebinding process."		1	2		5					2						1			1				1			1												[]	[]	[]	[{'start': 212, 'end': 220, 'span': 'suggests', 'annotation': 'Words indicating uncertainty'}]	[]	"[{'start': 293, 'end': 457, 'span': ""one or two hydrated Ca 21 ions bound in the selectivity filter and supports a 'knock-off' mechanism of ion permeation through a stepwisebinding process.\r\n          "", 'annotation': 'Missing element from the reported finding.'}]"	[]	[]	[{'start': 70, 'end': 84, 'span': 'The third site', 'annotation': 'Added element in reported finding.'}]
60bce8474b590baeb84b6cdd	Experience.html	Experience																															How satisfied do you feel about your experience participating in our study?:::Not satisfied				How do you feel about your experience participating in our study compared with other studies?:::Worse than others		It was very difficult, but I did the best I could.	[]	[]	[]	[]	[]	[]	[]	[]	[]
60bce8474b590baeb84b6cdd	Medicine_353	<b>Reported finding:</b> According to the team, this demonstrates that the first and fifth digits were not simply lost to evolution, but attached to their neighboring second and fourth digits.<br><b>Paper finding:</b> Our proposed locations of the proximal metacarpals are confirmed by their carpal articulations, which are consistent with those of the pentadactyl Phenacodus.	2		2					4						4		1			1				1			1												[]	[]	[{'start': 76, 'end': 98, 'span': 'this demonstrates that', 'annotation': 'Words indicating certainty'}, {'start': 301, 'end': 310, 'span': 'confirmed', 'annotation': 'Words indicating certainty'}]	[]	[]	[]	[]	[]	[]
60bce8474b590baeb84b6cdd	Consent.html	Consent																											I have read and understood the instructions.:::Yes	I have read and understood the content warning.:::Yes	I want to participate in this research and continue with the study.:::Yes									[]	[]	[]	[]	[]	[]	[]	[]	[]
60bce8474b590baeb84b6cdd	Medicine_461	<b>Reported finding:</b> If the program is successful, these rates should fall over time, indicating that mammography screening is contributing effectively to reducing breast cancer mortality.<br><b>Paper finding:</b> Our re-calculations of Swedish trial revealed that risks of breast cancer death were similar for cancers found during the intervention and the post-intervention periods, indicating that reductions in the risk of breast cancer death also applied to cancer cases diagnosed when screening (or absence of screening) was the same in both screening and control groups.		1	2				3							4		1			1			3			3													[]	[{'start': 134, 'end': 219, 'span': 'mammography screening is contributing effectively to reducing breast cancer mortality', 'annotation': 'Causation'}, {'start': 432, 'end': 620, 'span': 'reductions in the risk of breast cancer death also applied to cancer cases diagnosed when screening (or absence of screening) was the same in both screening and control groups.\r\n          ', 'annotation': 'Causation'}]	[{'start': 416, 'end': 426, 'span': 'indicating', 'annotation': 'Words indicating certainty'}]	[{'start': 53, 'end': 81, 'span': 'If the program is successful', 'annotation': 'Words indicating uncertainty'}]	[]	[{'start': 269, 'end': 282, 'span': 'Swedish trial', 'annotation': 'Missing element from the reported finding.'}]	[]	[]	[]
