user	instance_id	displayed_text	I have read and understood the instructions.:::Yes	I have read and understood the content warning.:::Yes	I want to participate in this research and continue with the study.:::Yes	Level-of-generality:::Finding B	Level-of-generality:::They are at the same level of generality	Level-of-generality:::Finding A	I carefully went over the examples and the instructions.:::Yes	How satisfied do you feel about your experience participating in our study?:::scale_2	How satisfied do you feel about your experience participating in our study?:::scale_5	How satisfied do you feel about your experience participating in our study?:::scale_4	How satisfied do you feel about your experience participating in our study?:::scale_3	Compared to other studies you've participated in, how do you rate the difficulty of this task?:::scale_5	Compared to other studies you've participated in, how do you rate the difficulty of this task?:::scale_3	Compared to other studies you've participated in, how do you rate the difficulty of this task?:::scale_4	Compared to other studies you've participated in, how do you rate the difficulty of this task?:::scale_2	Compared to other studies you've participated in, how do you rate the difficulty of this task?:::scale_1	How confident are you that you performed well in the task?:::scale_5	How confident are you that you performed well in the task?:::scale_3	How confident are you that you performed well in the task?:::scale_4	How confident are you that you performed well in the task?:::scale_2	How confident are you that you performed well in the task?:::scale_1	Please feel free to leave any comments about our study (optional):::text_box
60c4e0103b1fe901a8bc4839	Medicine_110	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: When fruit DNA is added to the sensor-containing FD-CF pellets, only the sensors that are designed to open in the presence of each fruit's RNA will produce the fluorescent protein. The researchers tested their BioBits kits in the Chicago Public School system, and demonstrated that students and teachers were able to perform the experiments in the kits with the same success as trained synthetic biology researchers. ""We show that it is possible to use freeze-dried, cell-free extracts along with freeze-dried synthetic biology components to conduct innovative educational experiments in classrooms and other low-resource settings.""><b>Finding A:</b></span> The researchers tested their BioBits kits in the Chicago Public School system, and demonstrated that students and teachers were able to perform the experiments in the kits with the same success as trained synthetic biology researchers.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: Titrating the amount of DNA template results in varying levels of fluorescent protein production, which are visible to the naked eye and under a blue or black light. We anticipate that the availability of our BioBits™ kits and the data reported here will encourage teaching and broaden participation in the field of synthetic biology. We observed that all proteins expressed with high soluble yields (between 160 and >1100 g ml −1 ) ( Fig.""><b>Finding B:</b></span> We anticipate that the availability of our BioBits™ kits and the data reported here will encourage teaching and broaden participation in the field of synthetic biology."						1																
60c4e0103b1fe901a8bc4839	Medicine_tweet_79	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: Tobacco control responsible for 30% of the increase in life expectancy in US in past 50 years. ""><b>Finding A:</b></span> Tobacco control responsible for 30% of the increase in life expectancy in US in past 50 years. <br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: Hence, 2.3 years (CR, 1.8-2.5) or 30% (CR, 23%-32%) of improved life expectancy for men is projected to be associated with tobacco control. In women, life expectancy at age 40 years increased 5.4 years (from 37.4 to 42.7 years), but without tobacco control, it would have been projected to increase by only 3.8 years (from 37.3 to 41.2 years). Tobacco control appears to be associated with 1.6 years (CR, 1.4-1.7) of the improvement in life expectancy for women or 29% (CR, 25%-32%) of the gain.""><b>Finding B:</b></span> In women, life expectancy at age 40 years increased 5.4 years (from 37.4 to 42.7 years), but without tobacco control, it would have been projected to increase by only 3.8 years (from 37.3 to 41.2 years)."						1																
60c4e0103b1fe901a8bc4839	Experience.html	Experience										4					2					2		
60c4e0103b1fe901a8bc4839	Medicine_107	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: ""The effect of RHDV disease virus on rabbits is enhanced by previous infection with MYXV virus. Survival rates were lowest for rabbits which survived MYXV infection and then were exposed to RHDV disease,"" says Dr Fordham from the University's Environment Institute. ""The findings suggest a continuous benefit from both viruses and maximum impact on rabbit numbers if they act together.""""><b>Finding A:</b></span> Survival rates were lowest for rabbits which survived MYXV infection and then were exposed to RHDV disease,"" says Dr Fordham from the University's Environment Institute.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: Individuals susceptible to both RHDV and MYXV had significantly higher survival rates than immune rabbits in all seasons (all odd ratio 1.13-1.67 with CIs between 1.02 and 1.99; Figure 2 and Supporting Information Figure   S3 ). Crucially, we found relatively higher survival rates of individuals susceptible to both viruses compared to those susceptible to RHDV and immune to MYXV throughout the year (Figure 2 ), indicating that rabbits immune to MYXV have a lower survival rate than susceptible individuals. Young rabbits, including those with maternal antibodies to either virus, had significantly lower survival rates than immune rabbits in spring (Figure 2 and Supporting Information Figure S4 ), indicating that waning protection by antibodies result in infection and potentially, mortality, later in the same year.""><b>Finding B:</b></span> Crucially, we found relatively higher survival rates of individuals susceptible to both viruses compared to those susceptible to RHDV and immune to MYXV throughout the year (Figure 2 ), indicating that rabbits immune to MYXV have a lower survival rate than susceptible individuals."				2																		
60c4e0103b1fe901a8bc4839	Medicine_tweet_30	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: More evidence for weak correlations between acute hormonal responses &amp; resistance training-induced gains in muscle mass ""><b>Finding A:</b></span> More evidence for weak correlations between acute hormonal responses &amp; resistance training-induced gains in muscle mass <br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: Acute hormonal responses were correlated with gains in lean body mass (LBM), muscle fibre cross-sectional area (CSA) and leg press strength. There were no significant correlations between the exercise-induced elevations (area under the curve-AUC) of GH, fT and IGF-1 and gains in LBM or leg press strength. Significant correlations were found for cortisol, usually assumed to be a hormone indicative of catabolic drive, AUC with change in LBM (r = 0.29, P \ 0.05) and type II fibre CSA (r = 0.35, P \ 0.01) as well as GH AUC and gain in fibre area (type I: r = 0.36, P = 0.006; type II: r = 0.28, P = 0.04, but not lean mass).""><b>Finding B:</b></span> Acute hormonal responses were correlated with gains in lean body mass (LBM), muscle fibre cross-sectional area (CSA) and leg press strength."						1																
60c4e0103b1fe901a8bc4839	Medicine_94	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: They found that while it was associated with a lower risk of heart attacks and other cardiovascular events, it did lead to an increased risk of major bleeding. The results showed that:

Aspirin use was associated with an 11% lower risk of cardiovascular events. Approximately 250 patients needed to be treated with aspirin for 5 years to prevent a single heart attack, stroke or cardiovascular death.""><b>Finding A:</b></span> They found that while it was associated with a lower risk of heart attacks and other cardiovascular events, it did lead to an increased risk of major bleeding.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: 6 This study showed that when analysis was restricted to populations with observation-derived 10-year cardiovascular event rate estimates of 10% or more, aspirin use was associated with an absolute risk decrease of 0.51% (5% CI, 0.06%-0.3%) for the cardiovascular composite outcome, but an absolute risk increase of 0.64% (5% CI, 0.35%-0.7%) for major bleeding. The current study demonstrates that the absolute risk reduction for cardiovascular events and absolute risk increase for major bleeding associated with aspirin use were of similar magnitude. Aspirin use was not associated with a reduction in cardiovascular mortality, and deaths due to bleeding were rare.""><b>Finding B:</b></span> The current study demonstrates that the absolute risk reduction for cardiovascular events and absolute risk increase for major bleeding associated with aspirin use were of similar magnitude."						1																
60c4e0103b1fe901a8bc4839	Medicine_41	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: They found that while it was associated with a lower risk of heart attacks and other cardiovascular events, it did lead to an increased risk of major bleeding. The results showed that:

Aspirin use was associated with an 11% lower risk of cardiovascular events. Approximately 250 patients needed to be treated with aspirin for 5 years to prevent a single heart attack, stroke or cardiovascular death.""><b>Finding A:</b></span> They found that while it was associated with a lower risk of heart attacks and other cardiovascular events, it did lead to an increased risk of major bleeding.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: The median age of trial participants was 62 years (range, 53-74), 77 501 (47%) were men, 30 361 (19%) had diabetes, and the median baseline risk of the primary cardiovascular outcome was 9.2% (range, 2.6%-15.9%). Aspirin use was associated with significant reductions in the composite cardiovascular outcome compared with no aspirin (57.1 per 10 000 participant-years with aspirin and 61.4 per 10 000 participant-years with no aspirin) (hazard ratio CONCLUSIONS AND RELEVANCE The use of aspirin in individuals without cardiovascular disease was associated with a lower risk of cardiovascular events and an increased risk of major bleeding. This information may inform discussions with patients about aspirin for primary prevention of cardiovascular events and bleeding.""><b>Finding B:</b></span> Aspirin use was associated with significant reductions in the composite cardiovascular outcome compared with no aspirin (57.1 per 10 000 participant-years with aspirin and 61.4 per 10 000 participant-years with no aspirin) (hazard ratio CONCLUSIONS AND RELEVANCE The use of aspirin in individuals without cardiovascular disease was associated with a lower risk of cardiovascular events and an increased risk of major bleeding."					3																	
5f498ed174ace851abbbdee9	Consent.html	Consent	I have read and understood the instructions.:::Yes	I have read and understood the content warning.:::Yes	I want to participate in this research and continue with the study.:::Yes																			
5f498ed174ace851abbbdee9	Medicine_465	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: In the context of drug delivery, this platform is considered 'drug-agnostic,' which simply means the same membrane technology can be used for a wide spectrum of drugs, and just the size of the channel is what needs to be customized. The results of this study provide new insight into the channel function. Upon putting them to the test, however, they discovered intriguing, unexpected molecular behavior in these channels.""><b>Finding A:</b></span> The results of this study provide new insight into the channel function.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: 3 and Supplementary Fig. It is important to note that obtaining a linear release profile for a molecule carrying a charge of sign opposite to that of the channel surfaces is trivial: as a matter of fact, it is a previously unreported achievement. Figure 2b exhibits release curves of anionic cefazolin, (3-aminosalicylic acid in Supplementary Fig.""><b>Finding B:</b></span> It is important to note that obtaining a linear release profile for a molecule carrying a charge of sign opposite to that of the channel surfaces is trivial: as a matter of fact, it is a previously unreported achievement."					3																	
5f498ed174ace851abbbdee9	Medicine_238	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: ""We may need to put greater effort into increasing access to psychosocial interventions that can treat symptoms and behaviors that are currently being addressed with antipsychotic medications."" Psychotherapy has made progress but is still being utilized by only a small portion of young people being treated with antipsychotics, according to the study. Olfson pointed out that more research is needed to determine the factors that are currently impeding access to psychotherapy for children and teens in need of it.""><b>Finding A:</b></span> Psychotherapy has made progress but is still being utilized by only a small portion of young people being treated with antipsychotics, according to the study.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: Among antipsychotic-treated children and adolescents with mental disorder claims, the most common diagnosis was ADHD (younger children, 52.5%; older children, 60.1%; adolescents, 34.9%), while depression was the most common diagnosis among young adults (34.5%), followed by bipolar (26.6%) and anxiety disorders (22.9%). Less than one-fourth of the patients in each of the age groups had an outpatient claim for psychotherapy (younger children, 13.5%; older children, 20.4%; adolescents, 24.8%; young adults, 18.8%) ( Table 4) . In contrast with earlier reports 7-9 of increasing antipsychotic treatment of US children through the early 2000s, the percentage of children treated with antipsychotics was lower in 2010 than in 2006.""><b>Finding B:</b></span> Less than one-fourth of the patients in each of the age groups had an outpatient claim for psychotherapy (younger children, 13.5%; older children, 20.4%; adolescents, 24.8%; young adults, 18.8%) ( Table 4) ."						1																
5f498ed174ace851abbbdee9	test_question_testing_They are at the same level of generality	<b>Finding A:</b> Magnesium potentially has many health benefits.<br><b>Finding B:</b> This is a test question, please select They are at the same level of generality.					3																	
5f498ed174ace851abbbdee9	Medicine_456	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: Whether in a marriage or a casual fling, sex should always be consensual with respectable boundaries. Findings revealed that for many, anal heterosex appeared to be ""painful, risky and coercive, particularly for women."" Meanwhile, male partners often talked of their expectations to coerce reluctant partners.""><b>Finding A:</b></span> Findings revealed that for many, anal heterosex appeared to be ""painful, risky and coercive, particularly for women.""<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: Even Alicia's narrative contains some of the apparently coercive features of anal sex that other women report in negative terms, despite Alicia reporting enjoying anal sex. Fourth, anal sex today appears to be a marker of (hetero)sexual achievement or experience, particularly for men. The society which our interviewees inhabit seems to reward men for sexual experience per se ('every hole's a goal') and, to some extent, rewards women for compliance with sexually 'adventurous' acts (enjoyment signifying not being naive, unrelaxed, etc), although women must balance this with the risk to their reputation.""><b>Finding B:</b></span> Fourth, anal sex today appears to be a marker of (hetero)sexual achievement or experience, particularly for men."					3																	
5f498ed174ace851abbbdee9	Medicine_409	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: We also found that T-cell senescence is associated with systemic inflammation and alters hepatic glucose homeostasis. The rational modulation of T-cell senescence would be a promising avenue for the treatment or prevention of diabetes. Post a comment; thoughtful, considered opinions are valued.""><b>Finding A:</b></span> The rational modulation of T-cell senescence would be a promising avenue for the treatment or prevention of diabetes.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: In addition, we demonstrated that these CD8 + CD28 − T cells reside within the liver and are more numerous in the liver of aged and HFD-fed mice. These suggest that T-cell senescence-mediated reprogramming of metabolic pathways may be associated with development of diabetes and its complications, as well as other aging-related diseases. • In conclusion, we identified a link between the numbers and secretion of effector molecules by senescent T cells, and blood glucose status, in humans and mice.""><b>Finding B:</b></span> These suggest that T-cell senescence-mediated reprogramming of metabolic pathways may be associated with development of diabetes and its complications, as well as other aging-related diseases."					3																	
5f498ed174ace851abbbdee9	Generalization Examples.html	Generalization Examples							I carefully went over the examples and the instructions.:::Yes															
5f498ed174ace851abbbdee9	Medicine_49	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: ""This is a good example of how the study of a rare genetic disease can reveal a pathway that plays a key role in human biology,"" says study co-senior author Benjamin Cravatt, professor and chair of the Department of Chemical Physiology at Scripps Research. The team found that in adult mice, reducing ABHD12 activity with the inhibitor led to a rise in lyso-PS in immune cells called macrophages, as well as in brain tissue. The rise wasn't as great as that seen in the ABHD12-knockout mice, and even four weeks of treatment with the inhibitor appeared to cause only slight hearing defects -- nothing like the profound defects experienced by PHARC patients.""><b>Finding A:</b></span> The team found that in adult mice, reducing ABHD12 activity with the inhibitor led to a rise in lyso-PS in immune cells called macrophages, as well as in brain tissue.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: ), which adopt a more macrophage-like cell state compared to undifferentiated THP-1 cells. We also found that DO264 inhibits ABHD12 activity ( Supplementary Fig. 16 ) and alters lyso-PS and PS content in primary human macrophages, which showed elevations in both lyso-PS and 20:4 PS following 4 or 24 h treatment with DO264 (1 µ M), but not (S)-DO271 (1 µ M) ( Fig.""><b>Finding B:</b></span> We also found that DO264 inhibits ABHD12 activity ( Supplementary Fig."						1																
5f498ed174ace851abbbdee9	test_question_testing_Finding B	<b>Finding A:</b> Magnesium potentially has many health benefits.<br><b>Finding B:</b> This is a test question, please select Finding B.				2																		
5f498ed174ace851abbbdee9	Medicine_tweet_29	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: Metabolic phenotyping of plasma could be used to detect lung cancer in Belgian cohort. ""><b>Finding A:</b></span> Metabolic phenotyping of plasma could be used to detect lung cancer in Belgian cohort. <br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: These findings indicate that lung cancer cells utilize at least some steps of the gluconeogenic pathway to adapt to low-glucose conditions as a result of insufficient blood flow. In conclusion, this paper validates 1 H-NMR metabolic phenotyping of blood plasma as a complementary tool to discriminate between patients with lung cancer and controls. Our findings indicate that metabolic alterations can already be detected in an early stage.""><b>Finding B:</b></span> In conclusion, this paper validates 1 H-NMR metabolic phenotyping of blood plasma as a complementary tool to discriminate between patients with lung cancer and controls."						1																
5f498ed174ace851abbbdee9	Medicine_110	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: When fruit DNA is added to the sensor-containing FD-CF pellets, only the sensors that are designed to open in the presence of each fruit's RNA will produce the fluorescent protein. The researchers tested their BioBits kits in the Chicago Public School system, and demonstrated that students and teachers were able to perform the experiments in the kits with the same success as trained synthetic biology researchers. ""We show that it is possible to use freeze-dried, cell-free extracts along with freeze-dried synthetic biology components to conduct innovative educational experiments in classrooms and other low-resource settings.""><b>Finding A:</b></span> The researchers tested their BioBits kits in the Chicago Public School system, and demonstrated that students and teachers were able to perform the experiments in the kits with the same success as trained synthetic biology researchers.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: Titrating the amount of DNA template results in varying levels of fluorescent protein production, which are visible to the naked eye and under a blue or black light. We anticipate that the availability of our BioBits™ kits and the data reported here will encourage teaching and broaden participation in the field of synthetic biology. We observed that all proteins expressed with high soluble yields (between 160 and >1100 g ml −1 ) ( Fig.""><b>Finding B:</b></span> We anticipate that the availability of our BioBits™ kits and the data reported here will encourage teaching and broaden participation in the field of synthetic biology."				2																		
5f498ed174ace851abbbdee9	Medicine_tweet_79	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: Tobacco control responsible for 30% of the increase in life expectancy in US in past 50 years. ""><b>Finding A:</b></span> Tobacco control responsible for 30% of the increase in life expectancy in US in past 50 years. <br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: Hence, 2.3 years (CR, 1.8-2.5) or 30% (CR, 23%-32%) of improved life expectancy for men is projected to be associated with tobacco control. In women, life expectancy at age 40 years increased 5.4 years (from 37.4 to 42.7 years), but without tobacco control, it would have been projected to increase by only 3.8 years (from 37.3 to 41.2 years). Tobacco control appears to be associated with 1.6 years (CR, 1.4-1.7) of the improvement in life expectancy for women or 29% (CR, 25%-32%) of the gain.""><b>Finding B:</b></span> In women, life expectancy at age 40 years increased 5.4 years (from 37.4 to 42.7 years), but without tobacco control, it would have been projected to increase by only 3.8 years (from 37.3 to 41.2 years)."						1																
5f498ed174ace851abbbdee9	Experience.html	Experience									5						2					2		
