user	instance_id	displayed_text	how-certain-is-the-finding:::Somewhat uncertain	how-certain-is-the-finding:::Certain	how-certain-is-the-finding:::Uncertain	how-certain-is-the-finding:::Somewhat certain	How satisfied do you feel about your experience participating in our study?:::scale_4	How satisfied do you feel about your experience participating in our study?:::scale_2	How satisfied do you feel about your experience participating in our study?:::scale_3	How satisfied do you feel about your experience participating in our study?:::scale_5	How satisfied do you feel about your experience participating in our study?:::scale_1	Compared to other studies you've participated in, how do you rate the difficulty of this task?:::scale_4	Compared to other studies you've participated in, how do you rate the difficulty of this task?:::scale_2	Compared to other studies you've participated in, how do you rate the difficulty of this task?:::scale_3	Compared to other studies you've participated in, how do you rate the difficulty of this task?:::scale_5	Compared to other studies you've participated in, how do you rate the difficulty of this task?:::scale_1	How confident are you that you performed well in the task?:::scale_4	How confident are you that you performed well in the task?:::scale_2	How confident are you that you performed well in the task?:::scale_3	How confident are you that you performed well in the task?:::scale_5	How confident are you that you performed well in the task?:::scale_1	Please feel free to leave any comments about our study (optional):::text_box	I have read and understood the instructions.:::Yes	I have read and understood the content warning.:::Yes	I want to participate in this research and continue with the study.:::Yes	I carefully went over the examples and the instructions.:::Yes	"span_annotation:::<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">Palabras que indican incertidumbre</font></font>"	span_annotation:::Words indicating certainty	span_annotation:::Words indicating uncertainty
60dd619e24eb76732ae7934b	Medicine_tweet_43_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Thrilled that our new paper is out @username:  In this work with Dan Schacter and @username, we show that episodic simulations can form real-life attitudes and how this is supported by affective representations in the vmPFC. 1/5 ""><b>Finding:</b></span> Thrilled that our new paper is out @username:  In this work with Dan Schacter and @username, we show that episodic simulations can form real-life attitudes and how this is supported by affective representations in the vmPFC. 1/5 "				3																					[]	[]	[]
60dd619e24eb76732ae7934b	test_question_testing_Uncertain	<b>Reported Finding:</b> New study suggests that sunscreen could prevent skin damage. This is a test question, please select Uncertain. Do not mark any words or phrases.			1																						[]	[]	[]
60dd619e24eb76732ae7934b	Medicine_340_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: The highest concentrations of methane were at the point where the river emerges from beneath the glacier. Further analysis allowed them to find the exact sources of the methane--microbiological activity on the glacier bed. Researchers say that while the study only focuses on Solheimajokull and Katla, there are many other ice-covered active volcanoes that could produce methane in a similar way.""><b>Finding:</b></span> Further analysis allowed them to find the exact sources of the methane--microbiological activity on the glacier bed."		4																							[]	[]	[]
60dd619e24eb76732ae7934b	Medicine_340_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: As the most enriched values exceed the geogenic range, the observed isotopic signatures cannot be explained by a mixture of biogenic and geogenic methane (Fig. Extensive potential for methanotrophic activity, as evidenced through the incubation of sediments under oxidizing conditions (see Supplementary Fig. S2 ), likely explains the isotopic fractionation trajectory away from the microbial end member signature.""><b>Finding:</b></span> Extensive potential for methanotrophic activity, as evidenced through the incubation of sediments under oxidizing conditions (see Supplementary Fig."		4																							[]	[]	[]
60dd619e24eb76732ae7934b	Medicine_430_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Thus, these data indicate that adolescent sleep is declining across all age groups and major sociodemographic subgroups. Cohort effects were also observed for some subgroups, particularly in $7 hours of sleep for male subjects, white subjects, and those in urban areas; those in the earliest cohorts, as well as cohorts born in the early 1990s, were more likely to report regular $7 hours of sleep compared with all other adolescents. Third, we documented that girls are less likely to regularly report $7 hours of sleep and to feel they get adequate sleep, as are black/Hispanic adolescents and those in lower SES strata.""><b>Finding:</b></span> Cohort effects were also observed for some subgroups, particularly in $7 hours of sleep for male subjects, white subjects, and those in urban areas; those in the earliest cohorts, as well as cohorts born in the early 1990s, were more likely to report regular $7 hours of sleep compared with all other adolescents."				3																					[]	[]	[]
60dd619e24eb76732ae7934b	Medicine_tweet_138_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: However, there was a significant interaction between the factors, F(1, 99) = 4.52, p = .04. Planned comparisons revealed that in the morning-encoding condition, the false memory rate was significantly higher in the sleep-deprived group than in the rested group, t(51) = 2.01, p = .04 (two-tailed), Cohen's d = 0.56. However, in the evening-encoding condition, there was no significant difference in the false memory rate between sleep-deprived and rested participants, t(52) = 0.98, p = .33 (Fig.""><b>Finding:</b></span> Planned comparisons revealed that in the morning-encoding condition, the false memory rate was significantly higher in the sleep-deprived group than in the rested group, t(51) = 2.01, p = .04 (two-tailed), Cohen's d = 0.56."		4																							[]	[]	[]
60dd619e24eb76732ae7934b	Medicine_tweet_138_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Fewer than 5 hrs of sleep had about 20% higher rate of reported a false memory &amp; other effects ""><b>Finding:</b></span> Fewer than 5 hrs of sleep had about 20% higher rate of reported a false memory &amp; other effects "		4																							[]	[]	[]
5edd2ed49bd936a230626508	Medicine_tweet_164_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Results from this study also have implications for bioinspired design, where low-energy propulsion is required. We show that jellyfish exhibit a unique mechanism of passive energy recapture, which is exploited to allow them to travel 30% further each swimming cycle, thereby reducing metabolic energy demand by swimming muscles. By accounting for large interspecific differences in net metabolic rates, we demonstrate, contrary to prevailing views, that the jellyfish (Aurelia aurita) is one of the most energetically efficient propulsors on the planet, exhibiting a cost of transport (joules per kilogram per meter) lower than other metazoans.""><b>Finding:</b></span> We show that jellyfish exhibit a unique mechanism of passive energy recapture, which is exploited to allow them to travel 30% further each swimming cycle, thereby reducing metabolic energy demand by swimming muscles."				3																					[]	[{'start': 928, 'end': 961, 'span': 'allow them to travel 30% further ', 'annotation': 'Words indicating certainty'}]	[]
5edd2ed49bd936a230626508	Medicine_tweet_73_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: on the other hand, reported high individual variability of ANO expression between individual samples, both in terms of absolute expression levels and of expression level ratios between matched normal and tumorous prostate. In our study, higher ANO7 mRNA expression strongly correlated with poor overall survival in PrCa patients. Multivariate analysis compared high and low ANO7 expression and showed an even stronger negative survival effect than the model with the three selected SNPs, indicating that there might be additional variants that regulate expression.""><b>Finding:</b></span> In our study, higher ANO7 mRNA expression strongly correlated with poor overall survival in PrCa patients."				3																					[]	[{'start': 789, 'end': 808, 'span': 'strongly correlated', 'annotation': 'Words indicating certainty'}]	[]
5edd2ed49bd936a230626508	Experience.html	Experience					4						2						3								[]	[]	[]
5edd2ed49bd936a230626508	Medicine_29_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: In spite of its limitations, the present findings reveal indicators that may be useful for identifying children and adolescents at greater risk of psychiatric hospitalization as well as offer potential targets for individual and family intervention aimed at reducing the likelihood of requiring acute psychiatric services. Our results underscore the importance of a multi-disciplinary approach to the assessment and treatment of children and adolescents with ASD that addresses behavioral, psychological/ psychiatric, adaptive, sleep, and medical functioning in order to decrease behavioral crises and the utilization of inpatient psychiatric services. Furthermore, our findings highlight the need to consider the child's functioning in the context of family resources and needs during assessment and treatment, and to provide adequate supports for caregivers.""><b>Finding:</b></span> Our results underscore the importance of a multi-disciplinary approach to the assessment and treatment of children and adolescents with ASD that addresses behavioral, psychological/ psychiatric, adaptive, sleep, and medical functioning in order to decrease behavioral crises and the utilization of inpatient psychiatric services."		4																							[]	[{'start': 1106, 'end': 1132, 'span': 'underscore the importance ', 'annotation': 'Words indicating certainty'}, {'start': 1330, 'end': 1341, 'span': 'in order to', 'annotation': 'Words indicating certainty'}]	[]
5edd2ed49bd936a230626508	Medicine_43_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Notably, hepatic Ago2-deficiency improves glucose metabolism in conditions of insulin receptor antagonist treatment, high-fat diet challenge, and hepatic AMPKα1-deletion. The regulation of energy metabolism by Ago2 provides a novel paradigm in which RNA silencing plays an integral role in determining basal metabolic activity in obesity-associated sequelae. Upon loading of Ago proteins with mature miRNAs produced by the endoribonuclease Dicer 18 , RISC represses the expression of targeted mRNA through RNA silencing .""><b>Finding:</b></span> The regulation of energy metabolism by Ago2 provides a novel paradigm in which RNA silencing plays an integral role in determining basal metabolic activity in obesity-associated sequelae."		4																							[]	[{'start': 783, 'end': 819, 'span': 'RNA silencing plays an integral role', 'annotation': 'Words indicating certainty'}]	[]
5edd2ed49bd936a230626508	Consent.html	Consent																					I have read and understood the instructions.:::Yes	I have read and understood the content warning.:::Yes	I want to participate in this research and continue with the study.:::Yes		[]	[]	[]
5edd2ed49bd936a230626508	Medicine_tweet_164_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: really neat! efficiency of jellyfish locomotion ""><b>Finding:</b></span> really neat! efficiency of jellyfish locomotion "				3																					[]	[{'start': 230, 'end': 254, 'span': 'really neat! efficiency ', 'annotation': 'Words indicating certainty'}]	[]
5edd2ed49bd936a230626508	Medicine_tweet_143_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Interestingly, AP-1 is essential for MHC complex I downregulation and immune escape upon HIV infection . In summary, the presented evidence supports a major role of negative selection in cancer evolution, which has been neglected in most studies, and ultimately challenges the current paradigm of an exclusive role of positive selection in cancer. These studies help to shed light upon the mechanisms underlying immune evasion and provide insights for improving cancer immunotherapies in the future.""><b>Finding:</b></span> In summary, the presented evidence supports a major role of negative selection in cancer evolution, which has been neglected in most studies, and ultimately challenges the current paradigm of an exclusive role of positive selection in cancer."		4																							[]	[{'start': 717, 'end': 738, 'span': 'supports a major role', 'annotation': 'Words indicating certainty'}]	[]
5edd2ed49bd936a230626508	Medicine_43_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: ""Although this is still basic science, we propose that there may be important translational implications for our findings for chronic metabolic disorders like diabetes, fatty liver diseases, and other obesity associated illnesses,"" said Nakamura, senior investigator and a member of the Division of Endocrinology. ""This allows us to explore the potential of finding a novel therapeutic approach that alters energy balance in obesity and modulates the associated diseases."" Novel Science

The scientists caution the research is early stage.""><b>Finding:</b></span> ""This allows us to explore the potential of finding a novel therapeutic approach that alters energy balance in obesity and modulates the associated diseases."""				3																					[]	[{'start': 872, 'end': 921, 'span': 'potential of finding a novel therapeutic approach', 'annotation': 'Words indicating certainty'}]	[]
5edd2ed49bd936a230626508	test_question_testing_Somewhat certain	<b>Reported Finding:</b> New study suggests that sunscreen could prevent skin damage. This is a test question, please select Somewhat certain. Do not mark any words or phrases.				3																					[]	[]	[]
5edd2ed49bd936a230626508	Certainty Examples.html	Certainty Examples																								I carefully went over the examples and the instructions.:::Yes	[]	[]	[]
5edd2ed49bd936a230626508	Medicine_tweet_73_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Today's #MastermindFind: Sequencing and analysis of ANO7 reveals Caucasian SNPs associated with increased risk of prostate cancer, or decreased patient survival. #ProstateCancer #genetics


 ""><b>Finding:</b></span> Today's #MastermindFind: Sequencing and analysis of ANO7 reveals Caucasian SNPs associated with increased risk of prostate cancer, or decreased patient survival. #ProstateCancer #genetics


 "				3																					[]	[{'start': 456, 'end': 467, 'span': 'associated ', 'annotation': 'Words indicating certainty'}]	[]
5edd2ed49bd936a230626508	Medicine_tweet_143_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Pretty convincing evidence of negative selection detectable in cancer exomes in contrast to Martincorena et al Cell 2017. Nice eg in TERT w +ve selection in promoter but -ve selection in exons. Makes good sense! ""><b>Finding:</b></span> Pretty convincing evidence of negative selection detectable in cancer exomes in contrast to Martincorena et al Cell 2017. Nice eg in TERT w +ve selection in promoter but -ve selection in exons. Makes good sense! "				3																					[]	[{'start': 394, 'end': 420, 'span': 'Pretty convincing evidence', 'annotation': 'Words indicating certainty'}]	[{'start': 471, 'end': 515, 'span': 'in contrast to Martincorena et al Cell 2017.', 'annotation': 'Words indicating uncertainty'}]
5edd2ed49bd936a230626508	Medicine_29_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: The strongest risk factors--disrupted sleep, having a mood disorder and living in a home with a single caregiver--are not necessarily associated with ASD. ""Our results underscore the importance of a multidisciplinary approach to the assessment and treatment of children and adolescents with ASD that addresses behavioral, psychological and psychiatric, adaptive, sleep and medical functioning in order to decrease behavioral crises and the utilization of inpatient psychiatric services,"" Righi and co-authors wrote in the study published in Journal of Autism and Developmental Disorders. By employing statistical analysis techniques, the researchers were able to isolate risk factors that were independently and significantly associated with the risk of hospitalization.""><b>Finding:</b></span> ""Our results underscore the importance of a multidisciplinary approach to the assessment and treatment of children and adolescents with ASD that addresses behavioral, psychological and psychiatric, adaptive, sleep and medical functioning in order to decrease behavioral crises and the utilization of inpatient psychiatric services,"" Righi and co-authors wrote in the study published in Journal of Autism and Developmental Disorders."				3																					[]	[{'start': 1325, 'end': 1351, 'span': 'underscore the importance ', 'annotation': 'Words indicating certainty'}, {'start': 1470, 'end': 1482, 'span': 'in order to ', 'annotation': 'Words indicating certainty'}]	[]
5edd2ed49bd936a230626508	Medicine_44_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: DNA analysis showed that salamanders that breed in the fall move to new ponds less often than salamanders that breed in the spring. Distance between ponds and various landscape features could not fully explain the observed genetic differences. ""Even though some habitat features seemed to affect dispersal, we found that, for all four species, breeding season was a better predictor than habitat of the observed genetic differences,"" Burkhart says.""><b>Finding:</b></span> Distance between ponds and various landscape features could not fully explain the observed genetic differences."	2																								[]	[]	[{'start': 767, 'end': 782, 'span': 'could not fully', 'annotation': 'Words indicating uncertainty'}]
5edd2ed49bd936a230626508	Medicine_44_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: The support for a composite surface of TPI and distance from ravines explaining the genetic differentiation for A. annulatum and eastness describing genetic differentiation for A. maculatum extends previous work with A. annulatum and A. maculatum on this landscape. found that no landscape surface described genetic differentiation demonstrably better than distance alone and our work expanding the number of ponds landscape surface described genetic differentiation demonstrably better than distance alone. Our study differed from Bolded values indicate models with ΔAIC C < 2.0 in either the single surface or multiple surface optimizations.""><b>Finding:</b></span> found that no landscape surface described genetic differentiation demonstrably better than distance alone and our work expanding the number of ponds landscape surface described genetic differentiation demonstrably better than distance alone."				3																					[]	[{'start': 1027, 'end': 1047, 'span': 'demonstrably better ', 'annotation': 'Words indicating certainty'}]	[{'start': 837, 'end': 911, 'span': 'no landscape surface described genetic differentiation demonstrably better', 'annotation': 'Words indicating uncertainty'}]
5edd2ed49bd936a230626508	test_question_testing_Uncertain	<b>Reported Finding:</b> New study suggests that sunscreen could prevent skin damage. This is a test question, please select Uncertain. Do not mark any words or phrases.			1																						[]	[]	[]
6072e4e6236de7ca7d4bf06e	Medicine_95_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: The research may have applications in a clinical setting for protecting premature infants from a range of intestinal diseases including necrotizing enterocolitis (NEC), a condition that is the second most common cause of death among premature infants in the United States. The researchers emphasized that the finding does not suggest that breast milk from mothers without an active copy of the gene is less nourishing or healthy. Rather, it conveys the subtle and elegant choreography of one part of the human microbiome: The relationships between the mothers' genetics, the composition of her breast milk and the development of thier infants' gut microbiota.""><b>Finding:</b></span> The researchers emphasized that the finding does not suggest that breast milk from mothers without an active copy of the gene is less nourishing or healthy."				3																					[]	[{'start': 967, 'end': 985, 'span': 'is less nourishing', 'annotation': 'Words indicating certainty'}]	[{'start': 885, 'end': 901, 'span': 'does not suggest', 'annotation': 'Words indicating uncertainty'}]
6072e4e6236de7ca7d4bf06e	test_question_testing_Certain	<b>Reported Finding:</b> New study suggests that sunscreen could prevent skin damage. This is a test question, please select Certain. Do not mark any words or phrases.		4																							[]	[]	[]
6072e4e6236de7ca7d4bf06e	Medicine_tweet_28_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Lower results on IQ tests are associated with higher consumption of alcohol.  ""><b>Finding:</b></span> Lower results on IQ tests are associated with higher consumption of alcohol.  "		4																							[]	[{'start': 260, 'end': 266, 'span': 'Lower ', 'annotation': 'Words indicating certainty'}, {'start': 286, 'end': 305, 'span': 'are associated with', 'annotation': 'Words indicating certainty'}, {'start': 306, 'end': 313, 'span': 'higher ', 'annotation': 'Words indicating certainty'}]	[]
6072e4e6236de7ca7d4bf06e	Medicine_53_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Furthermore, we observed excellent tumor accumulation of the nanoparticles. Lastly, a tumor could be established in the egg using tumor samples from ovarian cancer patients and that our nanoparticles were effective in eliminating the tumor. These results point to the remarkable efficacy of our nanoparticle based drug delivery system and suggests the value of the chicken egg tumor model for testing novel therapies for ovarian cancer.""><b>Finding:</b></span> Lastly, a tumor could be established in the egg using tumor samples from ovarian cancer patients and that our nanoparticles were effective in eliminating the tumor."				3																					[]	[{'start': 743, 'end': 757, 'span': 'were effective', 'annotation': 'Words indicating certainty'}]	[{'start': 635, 'end': 643, 'span': 'could be', 'annotation': 'Words indicating uncertainty'}]
6072e4e6236de7ca7d4bf06e	Experience.html	Experience								5				3				2									[]	[]	[]
6072e4e6236de7ca7d4bf06e	Medicine_tweet_28_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: It should be noted that the authors report a skewed study population with regard to low socioeconomic position . They found a J-shaped association between frequency of drinking and IQ test results, where the daily drinkers had the lowest IQ. A higher IQ was associated with being a rare, an occasional, and a moderate drinker, whereas there was a lower IQ for being a former drinker compared with being a lifetime abstainer.""><b>Finding:</b></span> They found a J-shaped association between frequency of drinking and IQ test results, where the daily drinkers had the lowest IQ."				3																					[]	[{'start': 620, 'end': 640, 'span': 'J-shaped association', 'annotation': 'Words indicating certainty'}]	[{'start': 607, 'end': 617, 'span': 'They found', 'annotation': 'Words indicating uncertainty'}]
6072e4e6236de7ca7d4bf06e	Consent.html	Consent																					I have read and understood the instructions.:::Yes	I have read and understood the content warning.:::Yes	I want to participate in this research and continue with the study.:::Yes		[]	[]	[]
6072e4e6236de7ca7d4bf06e	Medicine_95_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: However, it may be that only some bifidobacterial species would possess this advantage, due to differences in abilities of various species to consume fucosylated substrates. In aggregate, the bifidobacterial species distribution did not differ greatly between secretor-fed infants and non-secretor-fed infants. As the species of bifidobacteria present within an infant are dependent on environmental exposure, we tentatively conclude that this subset of geographically co-located infants was exposed to similar sets of bifidobacterial species.""><b>Finding:</b></span> In aggregate, the bifidobacterial species distribution did not differ greatly between secretor-fed infants and non-secretor-fed infants."				3																					[]	[{'start': 781, 'end': 803, 'span': 'did not differ greatly', 'annotation': 'Words indicating certainty'}]	[]
6072e4e6236de7ca7d4bf06e	Medicine_53_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Lastly, a tumor could be established in the egg using tumor samples from ovarian cancer patients and that our nanoparticles were effective in eliminating the tumor. These results point to the remarkable efficacy of our nanoparticle based drug delivery system and suggests the value of the chicken egg tumor model for testing novel therapies for ovarian cancer."" ""We were surprised when the tumor was formed in three days,"" notes Dr. Tamanoi.""><b>Finding:</b></span> These results point to the remarkable efficacy of our nanoparticle based drug delivery system and suggests the value of the chicken egg tumor model for testing novel therapies for ovarian cancer."""				3																					[]	[{'start': 692, 'end': 711, 'span': 'remarkable efficacy', 'annotation': 'Words indicating certainty'}]	[{'start': 763, 'end': 772, 'span': 'suggests ', 'annotation': 'Words indicating uncertainty'}]
6072e4e6236de7ca7d4bf06e	Medicine_tweet_32_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Making telehealth easy to use is important but might not be enough to make providers or health systems invest the time, energy, and money needed to begin offering the service or expand its use. Policies that incentivize providers and health systems to use telehealth could be an important way to increase access to care for underserved populations. For example, offering financial incentives for providers to adopt telehealth may lead to increased usage, as payment incentives led to the increased adoption and use of electronic health records and patient-centered medical home status in safety-net clinics.""><b>Finding:</b></span> Policies that incentivize providers and health systems to use telehealth could be an important way to increase access to care for underserved populations."	2																								[]	[]	[{'start': 863, 'end': 871, 'span': 'could be', 'annotation': 'Words indicating uncertainty'}]
6072e4e6236de7ca7d4bf06e	Medicine_tweet_97_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Important paper out today with @username. Male infants and birth complications increase incidence of PND.  #pnd #ppd #babyboy #obgyn #episiotomy #csection #difficultbirth #inflammation #evolutionarymedicine""><b>Finding:</b></span> Important paper out today with @username. Male infants and birth complications increase incidence of PND.  #pnd #ppd #babyboy #obgyn #episiotomy #csection #difficultbirth #inflammation #evolutionarymedicine"		4																							[]	[{'start': 467, 'end': 475, 'span': 'increase', 'annotation': 'Words indicating certainty'}]	[]
6072e4e6236de7ca7d4bf06e	Medicine_79_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: CONCLUSIONS AND RELEVANCE Vitamin D supplementation during pregnancy is associated with a reduced risk of SGA and improved infant growth without risk of fetal or neonatal mortality or congenital abnormality. Vitamin D supplementation with doses of 2000 IU/d or lower during pregnancy may reduce the risk of fetal or neonatal mortality. Low vitamin D level status during pregnancy may expose the offspring to a suboptimal nutritional environment during critical phases of fetal development and may have long-term effects on offspring health outcomes.""><b>Finding:</b></span> Vitamin D supplementation with doses of 2000 IU/d or lower during pregnancy may reduce the risk of fetal or neonatal mortality."	2																								[]	[]	[{'start': 772, 'end': 790, 'span': '2000 IU/d or lower', 'annotation': 'Words indicating uncertainty'}, {'start': 808, 'end': 812, 'span': 'may ', 'annotation': 'Words indicating uncertainty'}]
